customer_id,age,gender,region,tenure_months,monthly_charges,total_spend,contract_type,payment_method,support_tickets,login_frequency,last_login_days,products_used,discount_usage,complaints,satisfaction_score,marketing_emails_opened,monthly_orders,avg_order_value,preferred_login_device,preferred_order_cat,churn
CP-10001,56,Male,Europe,27.0,57.32,1440.48,Month-to-Month,Credit Card,1,1,43,2,Low,0,2,20,0,36.35,Mobile App,Electronics,1
CP-10002,69,Female,Europe,7.0,57.05,405.7,Month-to-Month,Electronic Check,2,31,18,3,,0,2,13,4,36.21,Mobile App,Electronics,1
CP-10003,46,Female,North America,14.0,52.4,712.07,One Year,Credit Card,2,28,3,2,High,0,3,8,5,51.08,Mobile App,Electronics,0
CP-10004,32,Male,North America,1.0,111.63,113.61,Month-to-Month,Electronic Check,4,16,15,4,Low,0,2,8,2,33.16,Desktop,SaaS Subscriptions,1
CP-10005,60,Female,North America,13.0,59.3,746.56,Month-to-Month,Credit Card,1,3,35,3,,0,2,14,1,56.41,Mobile App,Grocery,1
CP-10006,25,Female,North America,9.0,77.53,654.13,Month-to-Month,Bank Transfer,2,7,4,2,Low,0,2,20,5,47.2,Mobile App,Fashion,1
CP-10007,38,Male,Middle East,21.0,112.26,2284.56,Month-to-Month,Credit Card,1,28,11,3,Low,0,3,18,2,58.19,Mobile App,Home & Living,0
CP-10008,56,Male,North America,1.0,81.89,86.09,One Year,UPI/Digital Wallet,2,31,25,1,Moderate,0,4,3,5,56.23,Mobile App,Electronics,0
CP-10009,36,Male,North America,18.0,27.82,475.32,Month-to-Month,Credit Card,1,37,19,1,Moderate,1,1,15,5,37.54,Mobile App,Fashion,1
CP-10010,40,Male,North America,27.0,92.97,2380.21,Two Year,Bank Transfer,4,36,12,1,High,0,2,14,4,68.45,Mobile App,Electronics,0
CP-10011,28,Female,Europe,1.0,50.78,53.41,One Year,Credit Card,2,35,9,2,Low,0,4,9,4,36.01,Desktop,Electronics,0
CP-10012,28,Male,Asia Pacific,25.0,26.67,640.96,Month-to-Month,Electronic Check,6,18,29,4,Low,0,3,23,2,48.56,Desktop,Fashion,1
CP-10013,41,Female,North America,3.0,84.14,245.64,Two Year,Electronic Check,3,19,35,5,Moderate,0,2,27,6,52.57,Mobile App,Electronics,1
CP-10014,70,Other,Latin America,22.0,72.1,1596.44,Two Year,Electronic Check,2,24,3,4,Moderate,0,3,2,4,55.86,Desktop,Fashion,0
CP-10015,53,Male,Asia Pacific,11.0,70.59,767.02,Month-to-Month,Electronic Check,0,36,25,1,Moderate,0,4,29,4,53.33,Mobile App,Fashion,1
CP-10016,57,Male,North America,15.0,79.0,1245.89,Month-to-Month,Credit Card,2,38,4,2,Low,0,3,22,7,39.88,Mobile App,Grocery,0
CP-10017,41,Female,Europe,8.0,62.2,503.78,Month-to-Month,Electronic Check,4,12,46,3,,1,2,1,3,58.91,Tablet,Grocery,1
CP-10018,20,Female,Europe,6.0,82.41,511.47,Month-to-Month,Credit Card,3,17,29,1,,0,3,20,4,34.83,Tablet,Fashion,1
CP-10019,39,Female,North America,2.0,95.24,196.83,One Year,Credit Card,4,31,3,1,Low,0,2,0,5,57.18,Desktop,Fashion,0
CP-10020,70,Male,Asia Pacific,37.0,69.27,2389.51,Month-to-Month,Bank Transfer,3,39,2,3,Moderate,1,4,29,5,52.01,Mobile App,Fashion,0
CP-10021,19,Male,North America,17.0,64.95,1187.95,Two Year,Credit Card,4,15,10,2,Low,0,4,28,4,31.55,Mobile App,Electronics,0
CP-10022,41,Female,Europe,72.0,54.06,3625.1,Month-to-Month,Bank Transfer,2,20,14,2,High,1,1,18,4,36.1,Mobile App,Fashion,0
CP-10023,61,Female,Europe,35.0,86.9,3259.94,One Year,UPI/Digital Wallet,3,5,9,5,Low,1,4,22,2,44.1,Mobile App,Home & Living,0
CP-10024,47,Male,Europe,37.0,103.4,4124.34,Month-to-Month,Credit Card,3,5,8,1,Low,0,4,25,7,83.53005000000002,Mobile App,Fashion,0
CP-10025,55,Female,Latin America,17.0,68.84,1125.51,One Year,Credit Card,1,37,19,2,,0,2,18,3,35.56,Tablet,Grocery,0
CP-10026,19,Male,North America,2.0,86.93,177.86,One Year,Bank Transfer,2,31,7,1,High,0,1,24,5,43.73,Desktop,Electronics,0
CP-10027,38,Other,North America,45.0,62.0,2590.56,One Year,Credit Card,1,20,27,1,Moderate,1,5,5,7,70.54,Mobile App,Fashion,0
CP-10028,50,Female,Europe,3.0,68.68,211.99,One Year,Electronic Check,0,32,8,4,Low,0,4,18,4,56.67,Mobile App,Electronics,0
CP-10029,29,Male,North America,14.0,107.39,1428.23,Month-to-Month,Electronic Check,3,17,15,1,Low,1,5,16,6,51.64,Mobile App,Electronics,1
CP-10030,39,Female,North America,35.0,60.3,2259.44,Month-to-Month,Electronic Check,0,16,0,1,Low,0,2,20,2,31.64,Mobile App,Electronics,0
